id,Edicion,Id_Propuesta,Titulo,Codigo_Ambito_Referencia,Ambito_Referencia,Tipo_Proponente,Numero_Apoyos,Pasa_Fase_Apoyos,Pasa_Fase_Viabilidad,Numero_Votos,Seleccionada,Presupuesto_euros,Mision_Climatica,Fecha creacion,Fecha_Baja,id_distrito,nombre_distrito,match_status
47,1,2015-00057,Urbanitzacio pio xii-diego miron-pare domenech,4,Campanar,Persona Fisica,,No aplicable,SI,75.0,SI,30750.0,No aplicable,2023-04-27,,4,Campanar,matched
55,1,2015-00067,,9,Jesus,Persona Fisica,,No aplicable,NO,0.0,NO,,No aplicable,2023-04-27,,9,Jesús,matched
57,1,2015-00069,,11,Poblats Maritims,Persona Fisica,,No aplicable,NO,0.0,NO,,No aplicable,2023-04-27,,11,Poblats Marítims,matched
95,1,2015-00123,,3,Extramurs,Persona Juridica,,No aplicable,NO,0.0,NO,,No aplicable,2023-04-27,,3,Extramurs,matched
117,1,2015-00152,,6,el Pla del Real,Persona Fisica,,No aplicable,NO,0.0,NO,,No aplicable,2023-04-27,,6,el Pla del Real,matched
160,1,2015-00197,,8,Patraix,Persona Juridica,,No aplicable,NO,0.0,NO,,No aplicable,2023-04-27,,8,Patraix,matched
13,1,2015-00015,,6,el Pla del Real,Persona Fisica,,No aplicable,NO,0.0,NO,,No aplicable,2023-04-27,,6,el Pla del Real,matched
15,1,2015-00017,,16,Benicalap,Persona Fisica,,No aplicable,NO,0.0,NO,,No aplicable,2023-04-27,,16,Benicalap,matched
44,1,2015-00053,,13,Algiros,Persona Fisica,,No aplicable,SI,8.0,NO,,No aplicable,2023-04-27,,13,Algirós,matched
63,1,2015-00084,,3,Extramurs,Persona Fisica,,No aplicable,NO,0.0,NO,,No aplicable,2023-04-27,,3,Extramurs,matched
65,1,2015-00088,,4,Campanar,Persona Fisica,,No aplicable,NO,0.0,NO,,No aplicable,2023-04-27,,4,Campanar,matched
116,1,2015-00151,Mejora de infraestructuras de señalizacion,5,la Saidia,Persona Fisica,,No aplicable,SI,31.0,SI,21598.0,No aplicable,2023-04-27,,5,la Saïdia,matched
158,1,2015-00195,,10,Quatre Carreres,Persona Fisica,,No aplicable,NO,0.0,NO,,No aplicable,2023-04-27,,10,Quatre Carreres,matched
192,1,2015-00234,,6,el Pla del Real,Persona Fisica,,No aplicable,NO,0.0,NO,,No aplicable,2023-04-27,,6,el Pla del Real,matched
193,1,2015-00235,,14,Benimaclet,Persona Fisica,,No aplicable,SI,19.0,NO,,No aplicable,2023-04-27,,14,Benimaclet,matched
206,1,2015-00250,,2,l'Eixample,Persona Juridica,,No aplicable,NO,0.0,NO,,No aplicable,2023-04-27,,2,l'Eixample,matched
224,1,2015-00269,,11,Poblats Maritims,Persona Fisica,,No aplicable,NO,0.0,NO,,No aplicable,2023-04-27,,11,Poblats Marítims,matched
225,1,2015-00270,,1,Ciutat Vella,Persona Fisica,,No aplicable,SI,22.0,NO,,No aplicable,2023-04-27,,1,Ciutat Vella,matched
265,1,2015-00315,,11,Poblats Maritims,Persona Fisica,,No aplicable,NO,0.0,NO,,No aplicable,2023-04-27,,11,Poblats Marítims,matched
281,1,2015-00337,,4,Campanar,Persona Fisica,,No aplicable,NO,0.0,NO,,No aplicable,2023-04-27,,4,Campanar,matched
283,1,2015-00339,Repavimentar calle mariano de cavia nº 36,8,Patraix,Persona Fisica,,No aplicable,SI,11.0,SI,4700.0,No aplicable,2023-04-27,,8,Patraix,matched
285,1,2015-00341,,12,Camins al Grau,Persona Fisica,,No aplicable,NO,0.0,NO,,No aplicable,2023-04-27,,12,Camins al Grau,matched
