id,Edicion,Id_Propuesta,Titulo,id_distrito,nombre_distrito,Numero_Apoyos,Seleccionada,cluster_id,tema,tema_id,Seleccionada_bool
47,1,2015-00057,Urbanitzacio pio xii-diego miron-pare domenech,4,Campanar,0,SI,39,Centros cívicos y huertos urbanos,8,True
116,1,2015-00151,Mejora de infraestructuras de señalizacion,5,la Saïdia,0,SI,-1,Sin clasificar,36,True
283,1,2015-00339,Repavimentar calle mariano de cavia nº 36,8,Patraix,0,SI,11,Litoral y puerto,18,True
395,1,2015-00460,Iluminacion aceras calle san vicente martir,9,Jesús,0,SI,7,Iluminación pública,15,True
436,1,2015-00515,"Urbanizacion de la zona verde y peatonal situada entre las calles, transformador- jose poeta albi y carlos climent gonzalez",16,Benicalap,0,SI,16,Pedanías y barrios periféricos,24,True
554,1,2016-00049,Propuesta ayuntamiento. Acondicionamiento de solar en calle hermanos rivas para aparcamiento,7,l'Olivereta,0,SI,3,Solares y suelo disponible,37,True
625,2,6,Apertura C/ Padre Viñas a la Ronda Norte (Hermanos Machado),15,Rascanya,45,SI,45,Pedanías y barrios periféricos,24,True
641,2,22,Urbanizacion Avenida Constitucion,15,Rascanya,2,NO,39,Centros cívicos y huertos urbanos,8,False
655,2,36,Crear una xarxa de panells d'informacio on se publiciten esdeveniments culturals,1,Ciutat Vella,16,NO,36,Equipamientos culturales,12,False
681,2,62,Habilitar un pipican en calle Casilda Castellvi,7,l'Olivereta,3,NO,42,Aceras y movilidad peatonal,2,False
712,2,93,Zona de juegos infantiles y aparatos gimnasia en GV Marques del Turia,2,l'Eixample,73,NO,-1,Sin clasificar,36,False
781,2,162,Ampliacion del espacio peatonal en Av Primado reig.,14,Benimaclet,19,NO,-1,Sin clasificar,36,False
850,2,231,Escuela infantil municipal,1,Ciutat Vella,14,NO,29,Centros educativos,10,False
851,2,232,Crear espacios para proporcionar ocio saludable adolescentes entre 12-16 años,6,el Pla del Real,2,NO,-1,Sin clasificar,36,False
857,2,238,Urbanizacion de la C/ Joaquin Navarro.,9,Jesús,9,NO,39,Centros cívicos y huertos urbanos,8,False
880,2,261,Habilitar todas las calles y zonas peatonales en sociopolis,19,Pobles del Sud,6,NO,39,Centros cívicos y huertos urbanos,8,False
885,2,266,Construir una nueva pista de atletismo en el cauce del turia,12,Camins al Grau,38,NO,27,Instalaciones deportivas,16,False
932,2,313,C.P. CERVANTES RELLENOS HUECOS ALCORQUES Y COLOCACIoN BARRERA DE SEGURIDAD,3,Extramurs,45,NO,44,Repavimentación de calzadas,32,False
1023,2,404,Sant isidre. Acabar parque continuo al club deportivo Zafranar .,8,Patraix,5,NO,27,Instalaciones deportivas,16,False
1025,2,406,"Actuar sobre la interseccion entre las c/Jose Soto Mico,c/ Rafael Lapesa Melgar",9,Jesús,5,NO,-1,Sin clasificar,36,False
1076,2,457,Carril bici Cardenal Benlloch,13,Algirós,1,NO,1,Carriles bici y movilidad ciclista,7,False
1116,2,497,Parque inclusivo para personas con y sin capacidades diferentes,3,Extramurs,2,NO,33,Parques infantiles,22,False
1132,2,513,NUEVA ILUMINACION CALLE ALEMANY,15,Rascanya,2,NO,7,Iluminación pública,15,False
1178,2,559,Valla de seguridad para el colegio,7,l'Olivereta,18,NO,29,Centros educativos,10,False
1192,2,573,Acondicionar solar calle Marina Baixa,4,Campanar,7,NO,3,Solares y suelo disponible,37,False
1198,2,579,"Arbolado en la Calle Turia, entre calle Quart y Paseo de la Petxina",2,l'Eixample,2,NO,42,Aceras y movilidad peatonal,2,False
1225,3,1015,CENTRE DE RECUPERACIo DE GATS DEL CARRER,0,Toda la ciudad,1155,NO,2,Bienestar animal,6,False
1235,3,1026,ENSANCHAMIENTO ACERA Y CARRIL BICI EN PASSEIG DE LA CIUTADELLA,0,Toda la ciudad,13,NO,1,Carriles bici y movilidad ciclista,7,False
1244,3,1035,MAS PAPELERAS EN EL SALER,0,Toda la ciudad,19,NO,-1,Sin clasificar,36,False
1245,3,1036,REHABILITACIoN ALQUERiAS ORRIOLS,0,Toda la ciudad,111,NO,19,Rehabilitación del patrimonio,31,False
1256,3,1047,HUERTOS URBANOS EN BENIMAMET,0,Toda la ciudad,60,NO,39,Centros cívicos y huertos urbanos,8,False
1276,3,1069,INSONORIZACIoN CON REALFALTADO NUENO Y ESPECIAL AV. AUSIAS MARCH,0,Toda la ciudad,8,NO,-1,Sin clasificar,36,False
1286,3,1079,CIRCUITO PEATONAL-RUNNING EN CASTELLAR-OLIVERAL,0,Toda la ciudad,100,NO,44,Repavimentación de calzadas,32,False
