id_distrito,nombre_distrito,tema,indicador_realidad,valor_realidad,more_is_worse,n_apoyos,n_propuestas,apoyos_per_1000hab,demanda_z,carencia_z,discrepancia,cuadrante
4,Campanar,Aparcamiento para vehículos,plazas_parking_per_1000hab,0.0,False,54,5,1.39,-1.051,0.803,-1.854,Silencioso vulnerable
5,la Saïdia,Aparcamiento para vehículos,plazas_parking_per_1000hab,8.035,False,15,1,0.32,-1.457,0.351,-1.808,Silencioso vulnerable
16,Benicalap,Aparcamiento para vehículos,plazas_parking_per_1000hab,0.0,False,102,7,2.15,-0.763,0.803,-1.565,Silencioso vulnerable
8,Patraix,Aparcamiento para vehículos,plazas_parking_per_1000hab,0.0,False,146,9,2.54,-0.615,0.803,-1.417,Silencioso vulnerable
15,Rascanya,Aparcamiento para vehículos,plazas_parking_per_1000hab,0.0,False,182,7,3.42,-0.281,0.803,-1.083,Silencioso vulnerable
19,Pobles del Sud,Aparcamiento para vehículos,plazas_parking_per_1000hab,0.0,False,81,10,3.82,-0.129,0.803,-0.932,Silencioso vulnerable
3,Extramurs,Aparcamiento para vehículos,plazas_parking_per_1000hab,8.105,False,134,11,2.78,-0.524,0.347,-0.87,Silencioso vulnerable
9,Jesús,Aparcamiento para vehículos,plazas_parking_per_1000hab,0.0,False,227,6,4.4,0.091,0.803,-0.712,Demanda legítima
6,el Pla del Real,Aparcamiento para vehículos,plazas_parking_per_1000hab,29.687,False,0,1,0.0,-1.579,-0.868,-0.711,Cómodo
12,Camins al Grau,Aparcamiento para vehículos,plazas_parking_per_1000hab,0.0,False,294,8,4.52,0.137,0.803,-0.666,Demanda legítima
7,l'Olivereta,Aparcamiento para vehículos,plazas_parking_per_1000hab,9.994,False,209,10,4.32,0.061,0.24,-0.18,Demanda legítima
13,Algirós,Aparcamiento para vehículos,plazas_parking_per_1000hab,17.375,False,131,7,3.69,-0.178,-0.175,-0.003,Cómodo
11,Poblats Marítims,Aparcamiento para vehículos,plazas_parking_per_1000hab,13.483,False,240,8,4.36,0.076,0.044,0.032,Demanda legítima
17,Pobles del Nord,Aparcamiento para vehículos,plazas_parking_per_1000hab,0.0,False,52,4,7.73,1.355,0.803,0.552,Demanda legítima
