id_distrito,nombre_distrito,tema_id,tema,n_propuestas,n_apoyos,n_seleccionadas,presupuesto_solicitado,poblacion,apoyos_per_1000hab,propuestas_per_1000hab,tasa_seleccion
1,Ciutat Vella,23,Parques y plazas,14,645,2,121082.0,27661,23.32,0.506,0.143
1,Ciutat Vella,24,Pedanías y barrios periféricos,15,500,1,229000.0,27661,18.08,0.542,0.067
1,Ciutat Vella,17,Jardines y arbolado,8,358,1,7000.0,27661,12.94,0.289,0.125
1,Ciutat Vella,37,Solares y suelo disponible,10,324,0,0.0,27661,11.71,0.362,0.0
1,Ciutat Vella,27,Recogida de residuos,9,300,0,402178.0,27661,10.85,0.325,0.0
1,Ciutat Vella,8,Centros cívicos y huertos urbanos,11,278,0,157000.0,27661,10.05,0.398,0.0
1,Ciutat Vella,20,Pacificación del tráfico,8,261,1,148433.0,27661,9.44,0.289,0.125
1,Ciutat Vella,7,Carriles bici y movilidad ciclista,8,242,0,225000.0,27661,8.75,0.289,0.0
1,Ciutat Vella,22,Parques infantiles,5,181,1,675423.0,27661,6.54,0.181,0.2
1,Ciutat Vella,14,Fuentes y aseos públicos,4,157,1,247720.0,27661,5.68,0.145,0.25
1,Ciutat Vella,6,Bienestar animal,2,156,1,3000.0,27661,5.64,0.072,0.5
1,Ciutat Vella,2,Aceras y movilidad peatonal,10,145,0,0.0,27661,5.24,0.362,0.0
1,Ciutat Vella,3,Aparcamiento para vehículos,3,132,2,28000.0,27661,4.77,0.108,0.667
1,Ciutat Vella,9,Centros de salud,3,100,1,80000.0,27661,3.62,0.108,0.333
1,Ciutat Vella,12,Equipamientos culturales,3,80,1,75536.0,27661,2.89,0.108,0.333
1,Ciutat Vella,5,Bibliotecas y ludotecas,2,78,1,15000.0,27661,2.82,0.072,0.5
1,Ciutat Vella,25,Pipicanes y zonas caninas,5,76,0,0.0,27661,2.75,0.181,0.0
1,Ciutat Vella,39,Zonas verdes,1,71,0,0.0,27661,2.57,0.036,0.0
1,Ciutat Vella,29,Reducción del ruido,2,59,1,21096.0,27661,2.13,0.072,0.5
1,Ciutat Vella,15,Iluminación pública,4,48,1,150000.0,27661,1.74,0.145,0.25
1,Ciutat Vella,10,Centros educativos,2,47,1,18000.0,27661,1.7,0.072,0.5
1,Ciutat Vella,31,Rehabilitación del patrimonio,1,37,0,0.0,27661,1.34,0.036,0.0
1,Ciutat Vella,35,Seguridad ciudadana,1,36,0,0.0,27661,1.3,0.036,0.0
1,Ciutat Vella,26,Puentes y vías peatonales,2,34,0,0.0,27661,1.23,0.072,0.0
1,Ciutat Vella,19,Mobiliario urbano deportivo,1,32,1,18000.0,27661,1.16,0.036,1.0
1,Ciutat Vella,33,Reurbanización de calles,2,31,0,0.0,27661,1.12,0.072,0.0
1,Ciutat Vella,30,Rehabilitación de mercados,2,17,0,0.0,27661,0.61,0.072,0.0
1,Ciutat Vella,32,Repavimentación de calzadas,1,12,0,0.0,27661,0.43,0.036,0.0
1,Ciutat Vella,11,Convivencia y mobiliario urbano,3,8,0,0.0,27661,0.29,0.108,0.0
1,Ciutat Vella,13,Equipamientos específicos,1,7,0,0.0,27661,0.25,0.036,0.0
1,Ciutat Vella,1,Accesibilidad peatonal,2,4,0,144000.0,27661,0.14,0.072,0.0
2,l'Eixample,7,Carriles bici y movilidad ciclista,22,1696,4,1199000.0,42447,39.96,0.518,0.182
2,l'Eixample,10,Centros educativos,8,498,1,394928.0,42447,11.73,0.188,0.125
2,l'Eixample,23,Parques y plazas,14,445,4,394408.0,42447,10.48,0.33,0.286
2,l'Eixample,24,Pedanías y barrios periféricos,15,370,1,383768.0,42447,8.72,0.353,0.067
2,l'Eixample,2,Aceras y movilidad peatonal,16,359,0,162700.0,42447,8.46,0.377,0.0
2,l'Eixample,29,Reducción del ruido,7,313,1,245000.0,42447,7.37,0.165,0.143
2,l'Eixample,3,Aparcamiento para vehículos,15,300,0,65000.0,42447,7.07,0.353,0.0
2,l'Eixample,25,Pipicanes y zonas caninas,8,261,1,139000.0,42447,6.15,0.188,0.125
2,l'Eixample,11,Convivencia y mobiliario urbano,7,192,0,0.0,42447,4.52,0.165,0.0
2,l'Eixample,37,Solares y suelo disponible,5,171,0,0.0,42447,4.03,0.118,0.0
2,l'Eixample,16,Instalaciones deportivas,2,160,0,0.0,42447,3.77,0.047,0.0
2,l'Eixample,27,Recogida de residuos,7,144,1,270000.0,42447,3.39,0.165,0.143
2,l'Eixample,30,Rehabilitación de mercados,7,105,0,200000.0,42447,2.47,0.165,0.0
2,l'Eixample,9,Centros de salud,3,104,0,0.0,42447,2.45,0.071,0.0
2,l'Eixample,34,Río Turia y litoral,1,75,0,0.0,42447,1.77,0.024,0.0
2,l'Eixample,33,Reurbanización de calles,4,70,0,127000.0,42447,1.65,0.094,0.0
2,l'Eixample,15,Iluminación pública,5,67,0,0.0,42447,1.58,0.118,0.0
2,l'Eixample,22,Parques infantiles,4,66,0,0.0,42447,1.55,0.094,0.0
2,l'Eixample,6,Bienestar animal,2,58,1,5000.0,42447,1.37,0.047,0.5
2,l'Eixample,35,Seguridad ciudadana,2,58,0,0.0,42447,1.37,0.047,0.0
2,l'Eixample,32,Repavimentación de calzadas,3,56,0,61000.0,42447,1.32,0.071,0.0
2,l'Eixample,5,Bibliotecas y ludotecas,2,35,2,45000.0,42447,0.82,0.047,1.0
2,l'Eixample,14,Fuentes y aseos públicos,3,35,1,37500.0,42447,0.82,0.071,0.333
2,l'Eixample,13,Equipamientos específicos,4,23,0,0.0,42447,0.54,0.094,0.0
2,l'Eixample,19,Mobiliario urbano deportivo,1,22,0,0.0,42447,0.52,0.024,0.0
2,l'Eixample,20,Pacificación del tráfico,5,22,2,47629.0,42447,0.52,0.118,0.4
2,l'Eixample,4,Asfalto y pavimentación,2,20,0,0.0,42447,0.47,0.047,0.0
2,l'Eixample,21,Paneles informativos,3,18,0,0.0,42447,0.42,0.071,0.0
2,l'Eixample,8,Centros cívicos y huertos urbanos,1,14,0,0.0,42447,0.33,0.024,0.0
2,l'Eixample,38,Transporte público (EMT),1,10,0,0.0,42447,0.24,0.024,0.0
2,l'Eixample,26,Puentes y vías peatonales,1,3,0,0.0,42447,0.07,0.024,0.0
2,l'Eixample,18,Litoral y puerto,1,0,0,250000.0,42447,0.0,0.024,0.0
3,Extramurs,7,Carriles bici y movilidad ciclista,29,1098,0,2943247.0,48244,22.76,0.601,0.0
3,Extramurs,2,Aceras y movilidad peatonal,28,808,4,1114000.0,48244,16.75,0.58,0.143
3,Extramurs,24,Pedanías y barrios periféricos,24,565,0,709200.0,48244,11.71,0.497,0.0
3,Extramurs,27,Recogida de residuos,11,535,1,519705.0,48244,11.09,0.228,0.091
3,Extramurs,17,Jardines y arbolado,15,426,3,526808.0,48244,8.83,0.311,0.2
3,Extramurs,22,Parques infantiles,8,413,2,667318.0,48244,8.56,0.166,0.25
3,Extramurs,11,Convivencia y mobiliario urbano,12,293,0,320000.0,48244,6.07,0.249,0.0
3,Extramurs,33,Reurbanización de calles,7,271,1,400310.0,48244,5.62,0.145,0.143
3,Extramurs,25,Pipicanes y zonas caninas,10,264,2,939993.0,48244,5.47,0.207,0.2
3,Extramurs,30,Rehabilitación de mercados,9,246,0,743205.0,48244,5.1,0.187,0.0
3,Extramurs,23,Parques y plazas,8,199,1,60000.0,48244,4.12,0.166,0.125
3,Extramurs,20,Pacificación del tráfico,6,141,0,145000.0,48244,2.92,0.124,0.0
3,Extramurs,8,Centros cívicos y huertos urbanos,6,137,0,190000.0,48244,2.84,0.124,0.0
3,Extramurs,3,Aparcamiento para vehículos,11,134,0,250000.0,48244,2.78,0.228,0.0
3,Extramurs,12,Equipamientos culturales,2,108,0,137000.0,48244,2.24,0.041,0.0
3,Extramurs,16,Instalaciones deportivas,2,94,0,0.0,48244,1.95,0.041,0.0
3,Extramurs,4,Asfalto y pavimentación,3,75,0,0.0,48244,1.55,0.062,0.0
3,Extramurs,10,Centros educativos,1,65,0,400000.0,48244,1.35,0.021,0.0
3,Extramurs,37,Solares y suelo disponible,2,61,0,230000.0,48244,1.26,0.041,0.0
3,Extramurs,39,Zonas verdes,1,55,0,75000.0,48244,1.14,0.021,0.0
3,Extramurs,31,Rehabilitación del patrimonio,2,52,0,411900.0,48244,1.08,0.041,0.0
3,Extramurs,6,Bienestar animal,1,45,1,3400.0,48244,0.93,0.021,1.0
