id_distrito,nombre_distrito,poblacion,Accesibilidad peatonal,Aceras y movilidad peatonal,Aparcamiento para vehículos,Asfalto y pavimentación,Bibliotecas y ludotecas,Bienestar animal,Carriles bici y movilidad ciclista,Centros cívicos y huertos urbanos,Centros de salud,Centros educativos,Convivencia y mobiliario urbano,Equipamientos culturales,Equipamientos específicos,Fuentes y aseos públicos,Iluminación pública,Instalaciones deportivas,Jardines y arbolado,Litoral y puerto,Mobiliario urbano deportivo,Pacificación del tráfico,Paneles informativos,Parques infantiles,Parques y plazas,Pedanías y barrios periféricos,Pipicanes y zonas caninas,Puentes y vías peatonales,Recogida de residuos,Reducción de velocidad y zonas 30,Reducción del ruido,Rehabilitación de mercados,Rehabilitación del patrimonio,Repavimentación de calzadas,Reurbanización de calles,Río Turia y litoral,Seguridad ciudadana,Solares y suelo disponible,Transporte público (EMT),Zonas verdes
1,Ciutat Vella,25546,0.16,5.68,5.17,0.0,3.05,6.11,9.47,10.88,3.91,1.84,0.31,3.13,0.27,6.15,1.88,0.0,14.01,0.0,1.25,10.22,0.0,7.09,25.25,19.57,2.98,1.33,11.74,0.0,2.31,0.67,1.45,0.47,1.21,0.0,1.41,12.68,0.0,2.78
2,l'Eixample,45131,0.0,7.95,6.65,0.44,0.78,1.29,37.58,0.31,2.3,11.03,4.25,0.0,0.51,0.78,1.48,3.55,0.0,0.0,0.49,0.49,0.4,1.46,9.86,8.2,5.78,0.07,3.19,0.0,6.94,2.33,0.0,1.24,1.55,1.66,1.29,3.79,0.22,0.0
3,Extramurs,50686,0.12,15.94,2.64,1.48,0.55,0.89,21.66,2.7,0.22,1.28,5.78,2.13,0.0,0.2,0.65,1.85,8.4,0.0,0.0,2.78,0.77,8.15,3.93,11.15,5.21,0.0,10.56,0.34,0.77,4.85,1.03,0.89,5.35,0.1,0.18,1.2,0.47,1.09
4,Campanar,34708,0.0,3.31,1.56,1.24,11.87,2.19,9.57,7.92,4.24,0.0,9.19,1.04,0.0,2.28,1.79,7.17,4.21,0.0,1.18,0.0,0.0,5.76,12.3,6.68,3.11,0.0,0.0,1.01,0.12,0.0,6.91,0.23,0.12,3.11,0.0,13.94,1.15,0.37
5,la Saïdia,50191,0.0,12.73,0.3,1.43,0.34,0.0,15.4,2.11,3.51,0.2,1.69,3.15,0.22,1.57,4.28,5.36,3.83,4.54,0.0,0.74,0.48,5.82,2.29,4.22,2.31,6.34,5.5,0.0,0.98,8.53,1.97,0.2,2.81,2.33,0.26,9.6,0.0,0.0
6,el Pla del Real,31616,0.09,7.09,0.0,0.0,0.0,1.11,16.38,0.19,0.0,1.17,3.51,0.6,0.0,1.11,1.9,9.84,7.59,0.0,0.0,0.0,1.08,3.83,4.46,0.38,1.68,3.76,5.25,0.0,0.73,1.04,1.11,0.28,0.0,2.72,0.06,13.85,0.0,0.0
7,l'Olivereta,50581,1.11,5.48,4.13,3.8,3.26,0.83,3.52,0.65,0.87,4.71,2.29,0.0,0.49,1.07,2.53,0.59,2.29,0.0,0.0,3.99,0.87,1.84,7.14,5.75,1.48,0.0,2.77,0.0,0.0,0.59,6.13,0.0,1.34,3.48,1.09,6.7,0.0,0.0
8,Patraix,59441,0.0,6.66,2.46,0.13,3.38,1.11,14.06,4.49,4.9,11.36,1.93,0.0,0.03,2.27,1.24,6.65,2.37,0.5,3.23,3.53,0.0,4.59,12.23,5.05,3.31,0.0,3.05,0.0,2.05,1.11,3.87,0.25,1.14,0.34,0.0,8.51,0.79,0.0
9,Jesús,53819,0.0,10.29,4.22,0.07,2.04,0.95,13.51,4.2,0.13,0.56,1.13,0.0,0.0,0.71,1.3,2.29,0.76,0.0,0.0,3.66,0.0,1.13,11.2,9.31,2.56,0.2,0.48,0.0,0.22,1.91,0.0,0.19,2.27,0.11,0.0,13.03,0.0,0.0
10,Quatre Carreres,75274,2.02,6.14,4.21,1.29,2.51,0.53,8.09,0.5,0.98,3.32,5.18,0.12,0.0,3.45,2.31,11.16,2.66,0.68,3.72,3.41,0.86,1.08,6.79,8.37,4.36,0.09,3.44,0.12,1.42,2.84,0.0,0.0,0.11,0.62,3.0,6.82,0.0,3.21
