id_distrito,nombre_distrito,poblacion,n_equipamientos,n_centros_educativos,n_recursos_mayores,n_recursos_juventud,m2_espacios_verdes,n_jardines,n_plazas_parking,n_plazas_aparcabici,m_carril_bici,n_estaciones_ruido,n_zonas_zas,n_fallas,velocidad_media_kmh,n_paneles_total,n_contenedores_residuos,n_bic,n_paradas_emt,n_fuentes_agua,n_pipicans,n_juegos_infantiles,n_zonas_actividades,ind_equip,ind_dem,ind_econom,ind_global,equipamientos_per_1000hab,centros_educativos_per_1000hab,recursos_mayores_per_1000hab,recursos_juventud_per_1000hab,jardines_per_1000hab,plazas_parking_per_1000hab,plazas_aparcabici_per_1000hab,fallas_per_1000hab,paneles_total_per_1000hab,contenedores_residuos_per_1000hab,bic_per_1000hab,paradas_emt_per_1000hab,fuentes_agua_per_1000hab,pipicans_per_1000hab,juegos_infantiles_per_1000hab,zonas_actividades_per_1000hab,m2_verde_per_hab,m_carril_bici_per_1000hab
1,Ciutat Vella,27661,454,19,19,12,193771.45147247738,46,1902,2101,6071.023388514627,2,1,41,29.35,38,1424,338,45,27,7,13,90,1.8589868394155291,3.3404264503398373,3.759102397943592,2.9927955187503605,16.413,0.687,0.687,0.434,1.663,68.761,75.955,1.482,1.374,51.48,12.219,1.627,0.976,0.253,0.47,3.254,7.01,219.5
2,l'Eixample,42447,183,36,8,0,226541.37782934884,18,965,1642,19931.209506575422,1,0,36,34.8,34,1025,64,60,16,19,7,81,3.224806965391281,2.5210419294036397,3.6124847394247883,3.102564195144526,4.311,0.848,0.188,0.0,0.424,22.734,38.684,0.848,0.801,24.148,1.508,1.414,0.377,0.448,0.165,1.908,5.34,469.6
3,Extramurs,48244,213,44,9,1,154475.7572853642,33,391,1534,18014.883212208773,0,1,30,35.59,44,1111,71,51,32,10,15,48,3.04143011475145,2.6519502723848376,3.40461662559017,3.00323027534719,4.415,0.912,0.187,0.021,0.684,8.105,31.797,0.622,0.912,23.029,1.472,1.057,0.663,0.207,0.311,0.995,3.2,373.4
4,Campanar,38925,139,37,7,1,606872.5176937473,62,0,1552,22800.167971259143,0,0,14,38.34,65,992,21,67,68,45,46,28,3.9366371944498058,3.439353905483055,3.8309688019863075,3.767343378205944,3.571,0.951,0.18,0.026,1.593,0.0,39.872,0.36,1.67,25.485,0.539,1.721,1.747,1.156,1.182,0.719,15.59,585.7
5,la Saïdia,46671,159,31,6,7,444486.9597382095,37,375,1480,13130.61329689679,0,0,19,34.91,26,960,55,49,36,26,27,22,2.534451390060505,2.6119969353668218,2.51289315893687,2.5550422560025505,3.407,0.664,0.129,0.15,0.793,8.035,31.711,0.407,0.557,20.57,1.178,1.05,0.771,0.557,0.579,0.471,9.52,281.3
6,el Pla del Real,30249,138,23,5,0,321432.87349426246,34,898,1835,18201.152178576314,1,1,8,39.49,52,809,46,55,22,10,13,16,2.3754151733619966,2.831285807961359,3.8955928917732634,3.0320373668919136,4.562,0.76,0.165,0.0,1.124,29.687,60.663,0.264,1.719,26.745,1.521,1.818,0.727,0.331,0.43,0.529,10.63,601.7
7,l'Olivereta,48329,158,33,10,0,270971.4296497137,42,483,1200,13629.071638598285,0,0,18,34.56,26,934,12,54,36,19,25,25,2.7149941555589714,2.709015988394932,2.062578316184907,2.512161772556836,3.269,0.683,0.207,0.0,0.869,9.994,24.83,0.372,0.538,19.326,0.248,1.117,0.745,0.393,0.517,0.517,5.61,282.0
8,Patraix,57576,119,26,9,3,227549.41801184378,39,0,958,14647.794834827697,0,0,20,36.04,34,1343,18,52,35,52,30,30,2.40301576408002,3.1788190962739016,3.1099676732683035,2.907483582704808,2.067,0.452,0.156,0.052,0.677,0.0,16.639,0.347,0.591,23.326,0.313,0.903,0.608,0.903,0.521,0.521,3.95,254.4
9,Jesús,51619,115,27,9,3,174969.42585371924,41,0,488,12894.290694027053,0,0,17,33.23,16,1039,20,52,170,13,20,27,2.2576486401673272,3.4267091376196026,2.550101453313759,2.749006608616367,2.228,0.523,0.174,0.058,0.794,0.0,9.454,0.329,0.31,20.128,0.387,1.007,3.293,0.252,0.387,0.523,3.39,249.8
10,Quatre Carreres,74112,185,39,9,3,883853.2490380157,83,2391,1932,29121.793237860136,0,0,22,35.33,50,2249,11,149,49,40,52,27,2.578796223528919,3.4056391406755315,2.9077819942077117,2.9571403907600726,2.496,0.526,0.121,0.04,1.12,32.262,26.069,0.297,0.675,30.346,0.148,2.01,0.661,0.54,0.702,0.364,11.93,392.9
